Financial  Year,Payee_Name,Part_Postcode,Town,Parliamentary Constituency,County Council,Scheme,scheme detail,activity level,Amount
21/22,Sanaa Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,30463
21/22,Sanaa Moyer,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,11356
21/22,Saniyah Trevino,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,Low,1718
21/22,Saniyah Trevino,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,High,25225
21/22,Savion Bean,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,31107
21/22,Savion Bean,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,35052
21/22,Savion Bean,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,10879
21/22,Savion Bean,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,High,32283
21/22,Savion Bean,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,5115
21/22,Savion Bean,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,19053
21/22,Sherlyn Campbell,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Hedgerow,High,10302
21/22,Sherlyn Campbell,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,On farm woodland,High,16538
21/22,Sherlyn Campbell,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,29525
21/22,Sherlyn Campbell,DG2, None , Dumfries and Galloway , None,Farming Equipment and Technology Fund,,N/a,7174
21/22,Sherlyn Campbell,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Improved Grassland,High,16864
21/22,Sherlyn Campbell,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Farming Equipment and Technology Fund,,N/a,1906
21/22,Sherlyn Campbell,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Hedgerow,Low,27144
21/22,Shyann Warren,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Hedgerow,Medium,2720
21/22,Shyann Warren,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,11231
21/22,Shyann Warren,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,20637
21/22,Stella Benson,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,12583
21/22,Stella Benson,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,,N/a,10153
21/22,Stella Benson,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,,N/a,22152
21/22,Stella Benson,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,3043
21/22,Stella Benson,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,25532
21/22,Stella Benson,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,,N/a,17343
21/22,Stella Benson,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,31637
21/22,Steve Cummings,EC1R , Islington,   Islington South and Finsbury , None,Farming Equipment and Technology Fund,,N/a,19317
21/22,Steve Cummings,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,8498
21/22,Steve Cummings,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,30683
21/22,Steve Cummings,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,9666
21/22,Tania Arellano,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,15643
21/22,Tania Arellano,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,High,30692
21/22,Tania Arellano,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,High,20850
21/22,Tania Arellano,S72, Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,,N/a,6522
21/22,Tate Cameron,S72, Barnsley,   Barnsley East , None,Farming Equipment and Technology Fund,,N/a,33815
21/22,Tate Cameron,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,20777
21/22,Tate Cameron,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,2795
21/22,Tate Cameron,DY3, Dudley,   Dudley North , None,Farming Equipment and Technology Fund,,N/a,9362
21/22,Tate Cameron,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,High,6224
21/22,Tate Cameron,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,25078
21/22,Tate Cameron,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,26838
21/22,Tate Cameron,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,11202
21/22,Tess Dunn,DA1, Dartford,   Dartford , Kent,Farming Equipment and Technology Fund,,N/a,29576
21/22,Tess Dunn,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,2154
21/22,Tess Dunn,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Hedgerow,High,16013
21/22,Tess Dunn,DA1, Dartford,   Dartford , Kent,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,34488
21/22,Tess Dunn,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,High,30096
21/22,Tess Dunn,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,17386
21/22,Tess Dunn,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,26579
21/22,Valentina Burns,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,3866
21/22,Valentina Burns,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,2067
21/22,Valentina Burns,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,15536
21/22,Valentina Burns,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,5923
21/22,Valentina Burns,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,25274
21/22,Valentina Burns,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,5668
21/22,Valentina Burns,CW11, Sandbach , Congleton , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,10816
21/22,Valentina Burns,SN3, Covingham , North Swindon , None,Farming Equipment and Technology Fund,,N/a,31677
21/22,Valentina Burns,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,11951
21/22,Valentina Burns,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Hedgerow,High,27540
21/22,Vaughn Bullock,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,24308
21/22,Vaughn Bullock,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,35748
21/22,Vaughn Bullock,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,8627
21/22,Veronica Bender,SN3, Covingham , North Swindon , None,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,2213
21/22,Veronica Bender,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,14288
21/22,Veronica Bender,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Low and no input Grassland,High,27475
21/22,Veronica Bender,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,10747
21/22,Veronica Bender,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,25489
21/22,Veronica Bender,EX17, Washford Pyne , Central Devon , Devon,Sustainable Farming Incentive pilot,Improved Grassland,High,7596
21/22,Veronica Bender,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,On farm woodland,Low,9031
21/22,Veronica Bender,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Farming Equipment and Technology Fund,,N/a,25738
21/22,Veronica Bender,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,24536
21/22,Victor Proctor,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Farming Equipment and Technology Fund,,N/a,2062
21/22,Victor Proctor,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Improved Grassland,Medium,24423
21/22,Victor Proctor,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,28385
21/22,Victor Proctor,PE28, Somersham , North West Cambridgeshire , Cambridgeshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,7337
21/22,Victor Proctor,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,High,7498
21/22,Victor Proctor,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,20007
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Farming Equipment and Technology Fund,,N/a,2925
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,13032
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Hedgerow,High,1689
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,On farm woodland,High,17011
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,3636
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,30734
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,31655
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,14504
21/22,Wade Andrews,L37, Formby , Sefton Central , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,30450
21/22,Wade Andrews,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,8266
21/22,Wade Andrews,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,7063
21/22,Wade Andrews,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland,Low,17365
21/22,Walter Pacheco,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,4176
21/22,Walter Pacheco,DE22, Derby,   Derby North , None,Farming Equipment and Technology Fund,,N/a,8337
21/22,Walter Pacheco,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,20372
21/22,Walter Pacheco,DE22, Derby,   Derby North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,High,22096
21/22,Walter Pacheco,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,15231
21/22,Walter Pacheco,SL2, Hedgerley , Beaconsfield , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,17266
21/22,Willie Morse,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,High,29425
21/22,Willie Morse,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,18269
21/22,Willie Morse,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Medium,7977
21/22,Willie Morse,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,13079
21/22,Willie Morse,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,4111
21/22,Willie Morse,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,19968
21/22,Willie Morse,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Medium,35750
21/22,Yael Boone,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,3622
21/22,Yael Boone,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,9268
21/22,Yael Boone,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Improved Grassland,High,10093
21/22,Yael Boone,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Sustainable Farming Incentive pilot,Low and no input Grassland,Low,29297
21/22,Yael Boone,WD6, Elstree and Borehamwood , Hertsmere , Hertfordshire,Farming Equipment and Technology Fund,,N/a,27157
21/22,Yasmin Williamson,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,35856
21/22,Yasmin Williamson,DG2, None , Dumfries and Galloway , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,9164
21/22,Yasmin Williamson,DG2, None , Dumfries and Galloway , None,Farming Equipment and Technology Fund,,N/a,30709
21/22,Yasmin Williamson,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,Low,4605
21/22,Yasmin Williamson,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,On farm woodland,Medium,16169
21/22,Yasmin Williamson,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Hedgerow,High,22715
21/22,Yurem Kaufman,YO26, Little Ouseburn , Selby and Ainsty , North Yorkshire,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,18480
21/22,Yurem Kaufman,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Low,22095
21/22,Yurem Kaufman,GU31, Harting , Chichester , West Sussex,Farming Equipment and Technology Fund,,N/a,12039
21/22,Yurem Kaufman,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Low,33190
21/22,Zachariah Matthews,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Improved Grassland soils,Low,16567
21/22,Zachariah Matthews,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,Medium,22531
21/22,Zachariah Matthews,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,Hedgerow,Medium,20698
21/22,Zachariah Matthews,GU31, Harting , Chichester , West Sussex,Sustainable Farming Incentive pilot,On farm woodland,Medium,27918
21/22,Zachariah Matthews,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,Medium,18128
21/22,Zachariah Matthews,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Improved Grassland,High,34029
21/22,Zachariah Matthews,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Low and no input Grassland,High,17263
21/22,Zain Price,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Hedgerow,Medium,4811
21/22,Zain Price,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Medium,34257
21/22,Zain Price,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,Low,21253
21/22,Zain Price,EC1R , Islington,   Islington South and Finsbury , None,Sustainable Farming Incentive pilot,On farm woodland,Medium,25323
21/22,Zain Price,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Land,High,30792
21/22,Zain Price,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,27267
21/22,Zain Price,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Improved Grassland,High,8396
21/22,Zain Price,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Arable and Horticultural Soils,High,15052
21/22,Zain Price,S72, Barnsley,   Barnsley East , None,Sustainable Farming Incentive pilot,Hedgerow,Low,15330
21/22,Zain Price,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,High,3401
21/22,Zoe Mcneil,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Hedgerow,Low,30465
21/22,Zoe Mcneil,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,Improved Grassland soils,Medium,2434
21/22,Zoe Mcneil,DY3, Dudley,   Dudley North , None,Sustainable Farming Incentive pilot,On farm woodland,Low,11068
21/22,AGGREGATE,N/a,N/a,N/a,N/a,Tree Health Pilot,1 Payment Made,N/a,28171
